Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","160.670263","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","161.852556","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","163.520202","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","166.539584","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","167.764878","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","168.33129","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","169.037422","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","169.81073","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","171.209793","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","173.302312","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","175.652973","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5100","Africa","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","177.00831","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5200","Americas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","111.164205","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5200","Americas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","111.742695","A","Aggregate, may include official, semi-official, estimated or calculated data",""
