Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","116.048714","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","115.427847","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","115.660819","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","123.364955","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","121.982162","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","120.994452","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","119.611658","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","119.216574","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","118.228864","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","118.82149","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","120.204284","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","120.599368","","Official data","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","104.086086","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","104.270309","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","103.901863","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","103.441305","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","103.441305","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","103.809751","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","103.993974","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","103.993974","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","103.809751","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","103.901863","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","103.809751","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","104.362421","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","107.544073","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","107.934999","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","108.543863","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","108.084224","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","107.176128","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","106.562868","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","106.008511","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","106.248845","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","106.643475","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","106.903218","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","106.339292","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","106.640256","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","120.288629","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","119.587728","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","121.070627","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","121.412389","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","122.588282","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","122.785229","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","121.441352","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","121.580374","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","122.959007","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","125.021164","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","124.534587","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","124.662024","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","102.260765","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","101.679738","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","103.132306","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","103.42282","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","103.229144","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","102.357603","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","102.163928","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","102.163928","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","103.519657","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","103.616495","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","103.42282","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","103.132306","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","262.411127","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","266.914534","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","271.863541","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","277.438284","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","282.804448","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","287.725013","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","292.833563","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","298.194324","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","303.534158","","Official data","base year is 2015"
