Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","120.880724","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","120.900114","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","121.659358","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","136.790812","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","134.410117","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","131.930225","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","129.549529","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","127.962399","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","125.482507","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","126.077681","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","127.664812","","Official data","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","127.962399","","Official data","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","104.92446","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","105.36201","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","103.43679","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.5243","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","103.08675","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.78683","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","102.91173","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.299161","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.5243","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.26177","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.69932","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.34928","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","115.774141","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","116.880252","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","118.997309","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","117.84155","X","International reliable sources","base year is 2015"
