"country","medianIncome","meanIncome","gdpPerCapitaPPP","pop2021"
"Albania","2578","3141","14648","2872.9330"
"Algeria","2612","2996","12019","44616.6240"
"Angola","665","1066","6965","33933.6100"
"Argentina","5319","6935","0","45605.8260"
"Armenia","2216","2810","14257","2968.1270"
"Australia","17076","21329","53381","25788.2150"
"Austria","18405","20718","60418","9043.0700"
"Azerbaijan","3193","3851","15041","10223.3420"
"Bangladesh","1131","1414","4964","166303.4980"
"Belarus","6507","7359","19997","9442.8620"
"Belgium","16157","17917","56348","11632.3260"
"Belize","1927","3246","7314","404.9140"
"Benin","699","989","3432","12451.0400"
"Bhutan","2446","3189","12355","779.8980"
"Bolivia","3631","4787","9110","11832.9400"
"Bosnia and Herzegovina","5925","7131","16288","3263.4660"
"Botswana","1596","2907","18552","2397.2410"
"Brazil","4559","7654","15299","213993.4370"
"Bulgaria","5696","7474","25312","6896.6630"
"Burkina Faso","748","1002","2274","21497.0960"
"Burundi","475","640","784","12255.4330"
"Cameroon","1245","1841","3803","27224.2650"
"Canada","18652","22042","51668","38067.9030"
"Central African Republic","491","891","986","4919.9810"
"Chad","880","1182","1649","16914.9850"
"Chile","6293","9304","27002","19212.3610"
"China","0","4246","16829","1444216.1070"
"Colombia","3259","5201","16012","51265.8440"
"Comoros","1401","2050","3194","888.4510"
"Costa Rica","5457","8440","21737","5139.0520"
"Croatia","7196","8008","31130","4081.6510"
"Cyprus","13053","15663","41254","1215.5840"
"Czech Republic","10046","11394","44295","10724.5550"
"Denmark","17432","20304","62089","5813.2980"
"Djibouti","1403","1869","5779","1002.1870"
"Dominican Republic","4060","5873","19227","10953.7030"
"DR Congo","395","548","1146","92377.9930"
"Ecuador","3525","5046","11878","17888.4750"
"Egypt","1485","1847","0","104258.3270"
"El Salvador","3095","3989","9164","6518.4990"
"Estonia","10651","12540","39986","1325.1850"
"Eswatini","1097","2091","9003","1172.3620"
"Ethiopia","907","1107","2319","117876.2270"
"Fiji","2460","3261","14289","902.9060"
"Finland","16332","18742","53171","5548.3600"
"France","16372","19409","50992","65426.1790"
"Gabon","2779","3544","15611","2278.8250"
"Gambia","1383","1784","2321","2486.9450"
"Georgia","2273","2814","15655","3979.7650"
"Germany","16845","19730","57530","83900.4730"
"Ghana","1779","2422","5652","31732.1290"
"Greece","6936","8131","32506","10370.7440"
"Guatemala","2036","3103","9019","18249.8600"
"Guinea","843","1036","2675","13497.2440"
"Guinea-Bissau","486","797","2077","2015.4940"
"Guyana","2003","2729","13661","790.3260"
"Haiti","1162","1540","3034","11541.6850"
"Honduras","1959","3109","5981","10062.9910"
"Hungary","7684","8613","34966","9634.1640"
"Iceland","17017","19300","60132","343.3530"
"India","0","1314","6996","1393409.0380"
"Iran","4360","5924","12937","85028.7590"
"Iraq","1951","2293","11362","41179.3500"
"Ireland","14520","17938","89683","4982.9070"
"Israel","10866","13271","42897","8789.7740"
"Italy","13170","15547","45722","60367.4770"
"Ivory Coast","987","1358","5443","27053.6290"
"Jamaica","2899","4429","10193","2973.4630"
"Japan","14255","17095","43593","126050.8040"
"Jordan","3185","4025","10517","10269.0210"
"Kazakhstan","3661","4313","27517","18994.9620"
"Kenya","874","1197","4521","54985.6980"
